"Population at the first day of the quarter by marital status, sex,"
"region, age and time"

" "," "," "," ","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"Total"
" ","Total"
" "," ","All Denmark"
" "," "," ","Total",5532531,5534738,5540241,5543819,5557709,5560628,5564219,5566856,5579204,5580516,5584758,5587085,5599665,5602628,5605836,5608784,5623501,5627235,5634437,5639719,5655750,5659715,5668743,5678348,5699220,5707251,5717014,5724456,5745526,5748769,5756170,5760694,5778570,5781190,5785864,5789957,5806015,5806081,5811413,5814461,5827463,5822763,5824857,5825337,5837213,5840045,5843347,5850189,5867412
" "," "," ","0 years",63725,63178,63579,63569,63587,63739,62515,61532,60673,59306,58953,58446,58009,58246,57738,57663,57041,56161,56019,56032,56587,57130,57161,57214,57844,58605,59493,60592,61789,62025,62058,62143,61431,61731,61988,62327,62312,61733,61176,60919,61439,61466,61820,61714,61381,61191,61665,61940,62551
" "," "," ","1 year",66197,65977,65583,65316,64300,63665,63924,63954,64002,64168,62961,61932,61063,59718,59408,58909,58450,58721,58224,58136,57545,56748,56623,56710,57247,57894,58003,57987,58465,59253,60105,61116,62270,62508,62464,62508,61756,62046,62261,62592,62525,61916,61387,61131,61650,61663,62089,62036,61708
" "," "," ","2 years",64882,65205,65622,65929,66484,66235,65856,65547,64424,63842,64145,64222,64257,64422,63190,62174,61374,60046,59710,59213,58806,59134,58663,58679,58154,57484,57279,57302,57922,58520,58509,58412,58882,59523,60346,61362,62501,62675,62593,62665,61902,62148,62291,62545,62532,61967,61458,61294,61819
" "," "," ","3 years",66073,66248,66028,65438,65084,65406,65825,66116,66660,66358,65998,65719,64611,64006,64354,64445,64476,64638,63418,62449,61733,60389,60117,59736,59411,59803,59401,59330,58720,57977,57742,57752,58260,58831,58713,58604,59024,59608,60409,61428,62532,62697,62611,62702,61928,62185,62381,62622,62628
" "," "," ","4 years",65585,65459,65375,65782,66252,66450,66190,65557,65175,65529,65932,66227,66780,66564,66203,65895,64821,64216,64588,64723,64757,64967,63851,62949,62262,60962,60741,60265,59983,60288,59794,59663,59048,58205,57932,57862,58347,58901,58777,58645,59079,59661,60466,61435,62597,62844,62769,62818,62063
" "," "," ","5 years",65460,65546,65429,65617,65697,65532,65491,65853,66304,66506,66309,65663,65294,65643,66008,66388,66940,66742,66394,66131,65119,64546,64915,65148,65289,65616,64462,63545,62818,61484,61123,60608,60181,60478,59969,59798,59197,58352,58070,57959,58454,58993,58882,58745,59132,59740,60557,61533,62658
" "," "," ","6 years",65262,65534,66011,65986,65556,65647,65506,65723,65749,65597,65573,65927,66413,66634,66429,65754,65420,65822,66198,66608,67221,67083,66777,66553,65661,65147,65607,65800,65877,66047,64825,63848,63104,61705,61303,60773,60383,60640,60071,59920,59279,58415,58111,58012,58528,59064,58984,58877,59239
" "," "," ","7 years",65066,64941,64611,64624,65304,65583,66086,66038,65594,65693,65549,65782,65855,65676,65660,66015,66513,66762,66633,65992,65734,66122,66623,67087,67769,67681,67422,67158,66245,65636,66002,66153,66149,66236,64990,64007,63226,61798,61440,60904,60480,60745,60120,59986,59354,58551,58257,58183,58674
" "," "," ","8 years",66687,65976,65535,65160,65147,65039,64684,64686,65352,65667,66191,66135,65688,65801,65655,65926,65987,65861,65831,66213,66756,67053,66883,66358,66181,66672,67209,67639,68331,68121,67825,67501,66514,65871,66197,66322,66323,66386,65117,64104,63313,61926,61549,60999,60586,60898,60303,60111,59497
" "," "," ","9 years",67213,67877,67686,67194,66772,66066,65625,65256,65205,65085,64709,64733,65435,65766,66277,66215,65775,65959,65896,66195,66295,66143,66145,66557,67168,67509,67431,66922,66731,67155,67581,67988,68608,68391,68061,67709,66726,66077,66369,66477,66456,66522,65215,64168,63442,62107,61766,61194,60761
