"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2016M01D01","2016M01D02","2016M01D03","2016M01D04","2016M01D05","2016M01D06","2016M01D07","2016M01D08","2016M01D09","2016M01D10","2016M01D11","2016M01D12","2016M01D13","2016M01D14","2016M01D15","2016M01D16","2016M01D17","2016M01D18","2016M01D19","2016M01D20","2016M01D21","2016M01D22","2016M01D23","2016M01D24","2016M01D25","2016M01D26","2016M01D27","2016M01D28","2016M01D29","2016M01D30","2016M01D31","2016M02D01","2016M02D02","2016M02D03","2016M02D04","2016M02D05","2016M02D06","2016M02D07","2016M02D08","2016M02D09","2016M02D10","2016M02D11","2016M02D12","2016M02D13","2016M02D14","2016M02D15","2016M02D16","2016M02D17","2016M02D18","2016M02D19","2016M02D20","2016M02D21","2016M02D22","2016M02D23","2016M02D24","2016M02D25","2016M02D26","2016M02D27","2016M02D28","2016M02D29","2016M03D01","2016M03D02","2016M03D03","2016M03D04","2016M03D05","2016M03D06","2016M03D07","2016M03D08","2016M03D09","2016M03D10","2016M03D11","2016M03D12","2016M03D13","2016M03D14","2016M03D15","2016M03D16","2016M03D17","2016M03D18","2016M03D19","2016M03D20","2016M03D21","2016M03D22","2016M03D23","2016M03D24","2016M03D25","2016M03D26","2016M03D27","2016M03D28","2016M03D29","2016M03D30","2016M03D31","2016M04D01","2016M04D02","2016M04D03","2016M04D04","2016M04D05","2016M04D06","2016M04D07","2016M04D08","2016M04D09","2016M04D10","2016M04D11","2016M04D12","2016M04D13","2016M04D14","2016M04D15","2016M04D16","2016M04D17","2016M04D18","2016M04D19","2016M04D20","2016M04D21","2016M04D22","2016M04D23","2016M04D24","2016M04D25","2016M04D26","2016M04D27","2016M04D28","2016M04D29","2016M04D30","2016M05D01","2016M05D02","2016M05D03","2016M05D04","2016M05D05","2016M05D06","2016M05D07","2016M05D08","2016M05D09","2016M05D10","2016M05D11","2016M05D12","2016M05D13","2016M05D14","2016M05D15","2016M05D16","2016M05D17","2016M05D18","2016M05D19","2016M05D20","2016M05D21","2016M05D22","2016M05D23","2016M05D24","2016M05D25","2016M05D26","2016M05D27","2016M05D28","2016M05D29","2016M05D30","2016M05D31","2016M06D01","2016M06D02","2016M06D03","2016M06D04","2016M06D05","2016M06D06","2016M06D07","2016M06D08","2016M06D09","2016M06D10","2016M06D11","2016M06D12","2016M06D13","2016M06D14","2016M06D15","2016M06D16","2016M06D17","2016M06D18","2016M06D19","2016M06D20","2016M06D21","2016M06D22","2016M06D23","2016M06D24","2016M06D25","2016M06D26","2016M06D27","2016M06D28","2016M06D29","2016M06D30","2016M07D01","2016M07D02","2016M07D03","2016M07D04","2016M07D05","2016M07D06","2016M07D07","2016M07D08","2016M07D09","2016M07D10","2016M07D11","2016M07D12","2016M07D13","2016M07D14","2016M07D15","2016M07D16","2016M07D17","2016M07D18","2016M07D19","2016M07D20","2016M07D21","2016M07D22","2016M07D23","2016M07D24","2016M07D25","2016M07D26","2016M07D27","2016M07D28","2016M07D29","2016M07D30","2016M07D31","2016M08D01","2016M08D02","2016M08D03","2016M08D04","2016M08D05","2016M08D06","2016M08D07","2016M08D08","2016M08D09","2016M08D10","2016M08D11","2016M08D12","2016M08D13","2016M08D14","2016M08D15","2016M08D16","2016M08D17","2016M08D18","2016M08D19","2016M08D20","2016M08D21","2016M08D22","2016M08D23","2016M08D24","2016M08D25","2016M08D26","2016M08D27","2016M08D28","2016M08D29","2016M08D30","2016M08D31","2016M09D01","2016M09D02","2016M09D03","2016M09D04","2016M09D05","2016M09D06","2016M09D07","2016M09D08","2016M09D09","2016M09D10","2016M09D11","2016M09D12","2016M09D13","2016M09D14","2016M09D15","2016M09D16","2016M09D17","2016M09D18","2016M09D19","2016M09D20","2016M09D21","2016M09D22","2016M09D23","2016M09D24","2016M09D25","2016M09D26","2016M09D27","2016M09D28","2016M09D29","2016M09D30","2016M10D01","2016M10D02","2016M10D03","2016M10D04","2016M10D05","2016M10D06","2016M10D07","2016M10D08","2016M10D09","2016M10D10","2016M10D11","2016M10D12","2016M10D13","2016M10D14","2016M10D15","2016M10D16","2016M10D17","2016M10D18","2016M10D19","2016M10D20","2016M10D21","2016M10D22","2016M10D23","2016M10D24","2016M10D25","2016M10D26","2016M10D27","2016M10D28","2016M10D29","2016M10D30","2016M10D31","2016M11D01","2016M11D02","2016M11D03","2016M11D04","2016M11D05","2016M11D06","2016M11D07","2016M11D08","2016M11D09","2016M11D10","2016M11D11","2016M11D12","2016M11D13","2016M11D14","2016M11D15","2016M11D16","2016M11D17","2016M11D18","2016M11D19","2016M11D20","2016M11D21","2016M11D22","2016M11D23","2016M11D24","2016M11D25","2016M11D26","2016M11D27","2016M11D28","2016M11D29","2016M11D30","2016M12D01","2016M12D02","2016M12D03","2016M12D04","2016M12D05","2016M12D06","2016M12D07","2016M12D08","2016M12D09","2016M12D10","2016M12D11","2016M12D12","2016M12D13","2016M12D14","2016M12D15","2016M12D16","2016M12D17","2016M12D18","2016M12D19","2016M12D20","2016M12D21","2016M12D22","2016M12D23","2016M12D24","2016M12D25","2016M12D26","2016M12D27","2016M12D28","2016M12D29","2016M12D30","2016M12D31"
"Total"
" ","Total",139,133,129,143,160,161,145,173,165,156,149,164,140,153,160,144,155,126,156,146,152,164,155,147,162,156,159,187,152,145,163,175,161,141,142,143,171,150,155,146,152,151,154,139,143,136,151,161,146,167,160,141,148,143,157,150,176,156,194,150,163,162,162,169,171,166,168,174,142,172,163,172,158,192,147,163,141,168,171,177,169,171,154,154,145,139,142,171,158,150,160,150,158,137,146,144,153,143,149,145,143,150,137,147,154,160,164,159,136,142,132,159,150,143,148,146,146,126,160,132,150,125,149,136,146,137,160,149,165,127,163,165,144,136,154,134,115,128,149,136,137,130,140,149,130,145,140,153,137,121,144,128,137,150,131,141,122,143,134,129,116,118,128,145,146,131,135,122,145,117,124,127,139,157,130,158,140,132,140,109,119,133,154,117,125,130,125,130,128,125,136,150,132,138,126,124,133,122,123,135,124,146,133,148,140,145,148,169,117,135,159,129,105,123,132,116,139,131,144,117,158,113,141,122,150,129,143,141,115,131,121,133,146,127,133,131,142,157,148,127,133,136,137,123,131,134,125,136,137,135,144,140,125,161,113,112,137,131,153,131,131,137,132,136,114,151,128,129,114,128,154,142,138,150,152,119,122,103,134,123,136,139,153,143,149,141,169,140,140,140,165,142,149,148,152,139,145,127,141,155,144,132,139,151,155,147,143,143,136,147,132,167,138,133,152,124,163,140,140,160,149,145,155,150,146,181,148,154,140,147,143,133,154,140,157,156,144,132,127,137,147,154,130,164,143,168,172,168,141,159,144,135,148,142,153,150,132,158,168,157,164,151,173,165,165,173
" ","0-4 years",0,2,0,1,1,1,2,2,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,2,1,0,3,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,2,2,2,1,1,0,2,1,1,2,0,0,1,2,1,0,2,0,0,1,3,0,0,0,0,0,0,2,1,0,0,1,1,0,0,3,0,2,1,1,1,0,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,4,2,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,2,1,0,1,2,1,1,0,1,1,0,1,4,0,0,0,0,1,3,0,2,1,0,0,1,0,0,2,1,1,0,2,1,1,2,1,0,2,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,3,0,1,0,0,1,0,0,0,1,0,3,0,0,1,3,0,2,3,1,2,1,1,1,0,0,2,0,1,0,0,0,0,1,2,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,1,1,0,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1
" ","5-9 years",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" ","15-19 years",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
" ","20-24 years",0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,2,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
" ","25-29 years",2,1,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,1,1,0,2,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,1,3,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
" ","30-34 years",0,1,0,1,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,2,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,1,3,3,2,0,1,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,2,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,2,1,0,1
" ","35-39 years",0,0,0,0,1,0,0,1,2,2,1,0,1,1,5,0,0,2,2,1,2,0,2,0,1,0,1,2,1,1,1,1,0,0,0,0,1,0,2,0,1,1,2,1,1,4,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,2,1,1,1,2,0,3,0,1,0,0,3,1,0,0,0,1,0,0,0,2,2,1,0,1,1,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,1,0,2,0,1,1,0,2,1,3,0,0,2,2,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,0,1,0,1,1,0,2,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,3,1,1,1,0,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,1,0,0,0,1,2,0,0,3,0,1,2,1,3,1,1,1,1,1,0,0,0,1,1,1,0,1,0,2,2,0,0,1,0,1,2,0,3,0,0,0,0,1,0,1,0,0,1,1,0,1,2,0,0,3,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
