"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2017M01D01","2017M01D02","2017M01D03","2017M01D04","2017M01D05","2017M01D06","2017M01D07","2017M01D08","2017M01D09","2017M01D10","2017M01D11","2017M01D12","2017M01D13","2017M01D14","2017M01D15","2017M01D16","2017M01D17","2017M01D18","2017M01D19","2017M01D20","2017M01D21","2017M01D22","2017M01D23","2017M01D24","2017M01D25","2017M01D26","2017M01D27","2017M01D28","2017M01D29","2017M01D30","2017M01D31","2017M02D01","2017M02D02","2017M02D03","2017M02D04","2017M02D05","2017M02D06","2017M02D07","2017M02D08","2017M02D09","2017M02D10","2017M02D11","2017M02D12","2017M02D13","2017M02D14","2017M02D15","2017M02D16","2017M02D17","2017M02D18","2017M02D19","2017M02D20","2017M02D21","2017M02D22","2017M02D23","2017M02D24","2017M02D25","2017M02D26","2017M02D27","2017M02D28","2017M03D01","2017M03D02","2017M03D03","2017M03D04","2017M03D05","2017M03D06","2017M03D07","2017M03D08","2017M03D09","2017M03D10","2017M03D11","2017M03D12","2017M03D13","2017M03D14","2017M03D15","2017M03D16","2017M03D17","2017M03D18","2017M03D19","2017M03D20","2017M03D21","2017M03D22","2017M03D23","2017M03D24","2017M03D25","2017M03D26","2017M03D27","2017M03D28","2017M03D29","2017M03D30","2017M03D31","2017M04D01","2017M04D02","2017M04D03","2017M04D04","2017M04D05","2017M04D06","2017M04D07","2017M04D08","2017M04D09","2017M04D10","2017M04D11","2017M04D12","2017M04D13","2017M04D14","2017M04D15","2017M04D16","2017M04D17","2017M04D18","2017M04D19","2017M04D20","2017M04D21","2017M04D22","2017M04D23","2017M04D24","2017M04D25","2017M04D26","2017M04D27","2017M04D28","2017M04D29","2017M04D30","2017M05D01","2017M05D02","2017M05D03","2017M05D04","2017M05D05","2017M05D06","2017M05D07","2017M05D08","2017M05D09","2017M05D10","2017M05D11","2017M05D12","2017M05D13","2017M05D14","2017M05D15","2017M05D16","2017M05D17","2017M05D18","2017M05D19","2017M05D20","2017M05D21","2017M05D22","2017M05D23","2017M05D24","2017M05D25","2017M05D26","2017M05D27","2017M05D28","2017M05D29","2017M05D30","2017M05D31","2017M06D01","2017M06D02","2017M06D03","2017M06D04","2017M06D05","2017M06D06","2017M06D07","2017M06D08","2017M06D09","2017M06D10","2017M06D11","2017M06D12","2017M06D13","2017M06D14","2017M06D15","2017M06D16","2017M06D17","2017M06D18","2017M06D19","2017M06D20","2017M06D21","2017M06D22","2017M06D23","2017M06D24","2017M06D25","2017M06D26","2017M06D27","2017M06D28","2017M06D29","2017M06D30","2017M07D01","2017M07D02","2017M07D03","2017M07D04","2017M07D05","2017M07D06","2017M07D07","2017M07D08","2017M07D09","2017M07D10","2017M07D11","2017M07D12","2017M07D13","2017M07D14","2017M07D15","2017M07D16","2017M07D17","2017M07D18","2017M07D19","2017M07D20","2017M07D21","2017M07D22","2017M07D23","2017M07D24","2017M07D25","2017M07D26","2017M07D27","2017M07D28","2017M07D29","2017M07D30","2017M07D31","2017M08D01","2017M08D02","2017M08D03","2017M08D04","2017M08D05","2017M08D06","2017M08D07","2017M08D08","2017M08D09","2017M08D10","2017M08D11","2017M08D12","2017M08D13","2017M08D14","2017M08D15","2017M08D16","2017M08D17","2017M08D18","2017M08D19","2017M08D20","2017M08D21","2017M08D22","2017M08D23","2017M08D24","2017M08D25","2017M08D26","2017M08D27","2017M08D28","2017M08D29","2017M08D30","2017M08D31","2017M09D01","2017M09D02","2017M09D03","2017M09D04","2017M09D05","2017M09D06","2017M09D07","2017M09D08","2017M09D09","2017M09D10","2017M09D11","2017M09D12","2017M09D13","2017M09D14","2017M09D15","2017M09D16","2017M09D17","2017M09D18","2017M09D19","2017M09D20","2017M09D21","2017M09D22","2017M09D23","2017M09D24","2017M09D25","2017M09D26","2017M09D27","2017M09D28","2017M09D29","2017M09D30","2017M10D01","2017M10D02","2017M10D03","2017M10D04","2017M10D05","2017M10D06","2017M10D07","2017M10D08","2017M10D09","2017M10D10","2017M10D11","2017M10D12","2017M10D13","2017M10D14","2017M10D15","2017M10D16","2017M10D17","2017M10D18","2017M10D19","2017M10D20","2017M10D21","2017M10D22","2017M10D23","2017M10D24","2017M10D25","2017M10D26","2017M10D27","2017M10D28","2017M10D29","2017M10D30","2017M10D31","2017M11D01","2017M11D02","2017M11D03","2017M11D04","2017M11D05","2017M11D06","2017M11D07","2017M11D08","2017M11D09","2017M11D10","2017M11D11","2017M11D12","2017M11D13","2017M11D14","2017M11D15","2017M11D16","2017M11D17","2017M11D18","2017M11D19","2017M11D20","2017M11D21","2017M11D22","2017M11D23","2017M11D24","2017M11D25","2017M11D26","2017M11D27","2017M11D28","2017M11D29","2017M11D30","2017M12D01","2017M12D02","2017M12D03","2017M12D04","2017M12D05","2017M12D06","2017M12D07","2017M12D08","2017M12D09","2017M12D10","2017M12D11","2017M12D12","2017M12D13","2017M12D14","2017M12D15","2017M12D16","2017M12D17","2017M12D18","2017M12D19","2017M12D20","2017M12D21","2017M12D22","2017M12D23","2017M12D24","2017M12D25","2017M12D26","2017M12D27","2017M12D28","2017M12D29","2017M12D30","2017M12D31"
"Total"
" ","Total",158,139,182,179,132,172,155,154,170,159,160,162,155,163,142,150,149,171,153,166,156,154,169,160,148,159,164,154,150,154,169,159,176,197,159,197,159,158,152,164,154,157,156,171,177,147,183,200,179,171,192,161,147,203,155,139,159,171,181,177,178,169,149,154,156,154,172,154,144,164,157,148,157,164,175,161,168,159,165,160,177,175,143,164,142,158,155,147,148,128,153,152,142,140,134,130,152,148,142,153,145,143,140,160,136,132,136,131,130,139,159,136,136,132,129,140,126,155,133,159,160,143,142,138,159,168,149,164,144,142,141,143,143,138,130,152,155,141,159,140,145,138,122,146,158,144,136,125,128,140,135,127,151,136,139,138,153,133,145,134,138,144,141,154,158,136,151,164,119,132,148,133,141,164,127,135,139,134,141,125,142,131,126,137,134,124,119,161,116,114,138,145,131,131,125,136,135,152,144,130,115,126,131,133,131,127,148,114,150,128,127,120,138,136,130,146,127,137,120,130,136,150,131,126,139,134,132,118,99,159,131,133,138,125,135,138,152,145,120,139,149,128,141,127,127,140,122,140,124,142,138,110,142,142,150,139,143,153,132,132,132,137,140,112,160,144,154,139,125,155,150,126,149,139,159,142,125,147,152,125,128,128,137,147,141,151,150,131,151,140,140,160,130,120,129,138,123,135,160,125,131,122,137,136,149,162,126,126,140,143,136,138,122,137,155,125,159,169,150,173,156,144,119,152,144,131,153,135,155,141,152,151,147,134,147,138,158,145,175,149,130,158,165,145,153,178,164,147,162,165,133,155,160,148,148,151,140,156,156,162,201,167,148,152,148
" ","0-4 years",0,2,1,0,1,0,1,0,4,0,0,3,0,0,1,0,1,0,0,1,1,1,0,1,2,1,0,1,2,1,3,1,1,0,2,1,2,0,0,1,0,0,0,1,0,1,4,2,0,1,2,0,0,0,0,0,1,1,2,0,3,2,0,0,1,2,0,0,1,1,0,1,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,1,2,1,1,2,0,1,2,1,0,1,0,2,2,2,0,1,0,1,0,0,3,3,0,1,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,0,2,0,0,0,1,0,2,2,0,0,2,0,1,0,0,0,3,2,2,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,2,0,2,0,2,3,1,0,1,0,0,2,0,2,0,2,0,1,0,1,0,0,1,0,3,0,0,2,1,0,2,0,0,1,1,0,0,1,0,2,0,0,2,0,1,1,2,1,0,3,1,2,0,0,1,0,0,3,4,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,2,0,1,2,1,3,1,2,1,1,3,1,2,2,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,2,1,1,0,0,1,1,0,1,0,0,4,0,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
" ","5-9 years",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","15-19 years",2,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","20-24 years",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0
" ","25-29 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,1,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,3,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
" ","30-34 years",3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,2,0,0,2,0,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,0,0,1,0,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,2,0,0,0,1
" ","35-39 years",0,1,0,2,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,1,0,0,2,0,0,0,1,3,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,2,2,2,0,1,0,0,1,0,1,2,1,2,0,0,2,1,1,0,2,2,1,0,1,0,1,2,0,1,1,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,1,2,1,1,0,2,0,0,0,1,1,0,2,0,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,1,0,1,1,1,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1,0,1,0,0,1,1,0,1,0,2,0,0,1,3,2,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,1,1,2,0,0,1,0,1,0,0,1,2,0,1,1,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,2,2,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,2,0,1,0,2,0,1,0,2,0,0,2,0,0,1,2,1,0,0,1,0,0,2,1,0,0,0,0
