"Deaths per day (experimental statistics) by sex, age and time"

" "," ","2021M10D01","2021M10D02","2021M10D03","2021M10D04","2021M10D05","2021M10D06","2021M10D07","2021M10D08","2021M10D09","2021M10D10","2021M10D11","2021M10D12","2021M10D13","2021M10D14","2021M10D15","2021M10D16","2021M10D17","2021M10D18","2021M10D19","2021M10D20","2021M10D21","2021M10D22","2021M10D23","2021M10D24","2021M10D25","2021M10D26","2021M10D27","2021M10D28","2021M10D29","2021M10D30","2021M10D31","2021M11D01","2021M11D02","2021M11D03","2021M11D04","2021M11D05","2021M11D06","2021M11D07","2021M11D08","2021M11D09","2021M11D10","2021M11D11","2021M11D12","2021M11D13","2021M11D14","2021M11D15","2021M11D16","2021M11D17","2021M11D18","2021M11D19","2021M11D20","2021M11D21","2021M11D22","2021M11D23","2021M11D24","2021M11D25","2021M11D26","2021M11D27","2021M11D28","2021M11D29","2021M11D30","2021M12D01","2021M12D02","2021M12D03","2021M12D04","2021M12D05","2021M12D06","2021M12D07","2021M12D08","2021M12D09","2021M12D10","2021M12D11","2021M12D12","2021M12D13","2021M12D14","2021M12D15","2021M12D16","2021M12D17","2021M12D18","2021M12D19","2021M12D20","2021M12D21","2021M12D22","2021M12D23","2021M12D24","2021M12D25","2021M12D26","2021M12D27","2021M12D28","2021M12D29","2021M12D30","2021M12D31"
"Total"
" ","Total",174,152,184,143,142,153,167,154,164,141,175,152,164,170,167,169,164,167,154,166,172,171,151,147,166,165,172,159,157,163,156,171,160,151,180,157,152,170,163,144,181,171,164,148,171,161,146,152,176,184,145,166,160,167,175,195,168,186,158,160,190,179,182,178,166,155,181,176,179,198,170,169,188,189,172,179,176,196,166,176,178,174,219,205,180,153,170,142,197,184,195,163
" ","0-4 years",1,0,1,1,1,1,1,0,3,2,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,1,1,0,1,1,0,2,1,1,0,2,1,0,0,1,0,1,0,0,1,1,2,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,0,1,0,0,0,1,2,2,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,2,1,0,1
" ","5-9 years",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" ","10-14 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
" ","15-19 years",1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","20-24 years",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
" ","25-29 years",0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3
" ","30-34 years",0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
" ","35-39 years",1,1,0,2,0,0,2,2,0,0,1,0,1,0,1,1,0,0,3,1,1,1,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0
" ","40-44 years",2,2,1,1,2,1,1,0,1,0,1,0,1,0,1,1,2,0,2,0,0,2,0,1,1,0,1,2,1,0,0,1,1,1,0,0,0,0,1,1,2,1,0,1,1,1,0,1,1,3,0,0,1,2,0,1,1,2,1,1,1,2,2,4,1,2,1,1,0,0,0,1,2,1,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,1,2
" ","45-49 years",2,2,1,3,3,4,3,1,1,1,3,1,1,1,3,2,2,2,1,1,3,1,0,0,3,1,2,1,0,1,1,2,0,0,2,0,0,3,3,1,1,2,3,2,0,3,4,3,1,2,5,1,2,2,0,5,2,1,6,1,4,0,1,3,1,0,1,3,1,2,3,3,4,2,1,2,4,1,1,2,2,1,1,1,4,0,0,0,2,0,2,0
" ","50-54 years",1,1,2,3,3,8,2,4,2,5,3,4,1,6,2,5,5,5,3,0,3,7,3,3,2,3,3,3,1,5,2,2,2,5,4,2,2,2,4,1,1,3,0,1,3,3,5,3,3,2,1,4,4,3,2,2,4,2,1,2,4,4,6,3,4,2,3,3,1,3,2,5,2,4,2,3,3,1,3,0,4,2,1,7,3,3,1,2,5,3,2,0
" ","55-59 years",6,3,8,5,4,9,4,3,5,5,8,9,5,4,5,5,5,9,5,5,2,6,2,5,10,10,11,6,4,6,8,4,4,0,6,4,9,3,7,6,6,5,5,7,4,5,4,5,9,5,5,6,4,8,6,4,6,5,4,5,3,8,4,6,4,7,5,6,8,6,1,7,5,10,6,6,4,8,3,6,5,5,3,8,7,5,6,5,5,6,6,4
" ","60-64 years",12,5,13,7,13,8,9,7,10,6,6,9,9,8,8,5,7,5,5,7,9,9,9,7,4,9,9,13,11,5,7,16,6,15,7,10,6,6,6,8,11,7,5,9,8,8,8,5,5,10,4,6,11,14,11,10,6,11,9,6,4,12,7,14,14,7,12,9,16,3,9,6,9,10,8,8,6,14,11,12,11,4,10,13,11,10,5,6,10,9,8,8
" ","65-69 years",10,11,17,13,12,11,14,8,18,7,12,8,16,13,14,16,8,5,12,13,16,15,12,15,15,13,12,12,12,8,6,14,9,8,12,12,12,14,14,15,10,14,10,14,16,10,8,13,12,15,12,15,5,12,11,14,15,6,13,15,14,16,15,7,6,8,13,13,17,12,10,10,10,21,12,9,9,11,15,11,9,12,17,19,9,12,11,13,13,7,13,14
" ","70-74 years",20,19,27,16,14,8,23,28,17,17,18,18,14,19,19,17,17,14,16,17,20,15,9,16,21,17,14,10,17,25,12,14,13,20,17,20,12,16,17,17,17,17,13,21,19,19,11,11,18,25,15,13,19,15,15,28,21,18,24,21,22,14,12,19,21,21,30,19,24,21,17,23,23,25,18,12,15,16,12,12,19,11,35,13,16,15,22,13,26,21,27,20
" ","75-79 years",35,16,27,29,16,25,30,27,21,25,24,29,20,34,26,26,33,27,23,25,24,24,28,16,23,31,19,30,21,30,27,23,34,23,22,24,25,31,27,20,23,24,20,23,26,28,25,28,29,30,17,24,35,27,34,27,31,33,16,24,23,31,35,39,18,29,23,29,19,38,32,25,31,20,22,35,32,27,32,19,30,28,31,28,26,31,30,22,30,31,27,19
" ","80-84 years",28,27,29,15,20,21,28,24,26,19,35,16,31,21,28,25,23,27,23,14,29,27,25,29,37,25,23,23,31,20,24,31,32,30,35,22,29,29,28,20,30,30,31,25,20,28,28,29,34,39,26,29,17,25,34,35,26,40,28,31,44,35,23,25,30,21,24,32,31,32,35,29,34,40,37,28,29,44,22,37,24,31,32,27,29,23,30,26,30,36,33,24
" ","85-89 years",25,27,27,17,32,24,17,25,26,23,25,28,37,29,32,27,30,24,22,34,39,31,29,31,26,19,32,31,33,25,31,26,34,24,32,28,24,28,20,28,42,33,40,22,31,29,28,27,31,27,26,19,28,19,28,33,22,31,26,25,41,23,34,27,31,24,31,27,24,37,32,27,38,23,32,33,34,28,30,38,39,26,38,43,33,28,36,27,35,30,39,27
" ","90-94 years",16,27,17,20,16,21,13,12,23,20,22,18,17,19,19,26,18,36,24,34,10,19,22,15,15,24,28,18,10,20,18,27,15,15,26,17,18,19,23,16,26,31,22,15,26,16,12,14,20,15,25,27,16,25,22,20,23,22,18,23,16,21,25,16,23,18,22,22,23,24,14,17,18,20,20,25,25,27,16,20,20,32,31,22,26,15,19,19,17,25,23,33
" ","95-99 years",11,8,10,10,5,9,16,11,8,8,11,7,8,11,4,10,6,11,8,10,11,7,9,6,6,10,11,7,8,13,8,6,5,6,13,13,13,13,9,7,6,1,12,5,13,9,10,9,10,8,5,14,14,10,8,15,8,11,9,3,7,8,15,11,10,11,11,7,11,16,8,11,11,11,9,12,10,17,15,13,11,13,13,18,12,9,9,7,18,13,8,7
" ","100 years and over",2,2,3,0,1,2,2,1,2,0,2,3,2,4,3,1,2,0,3,2,2,3,1,1,2,3,3,1,3,3,4,4,4,2,2,2,1,1,3,3,3,0,1,1,2,1,1,1,0,3,2,4,1,2,1,0,1,2,0,1,5,3,1,3,2,1,1,3,3,0,2,1,1,0,3,4,3,2,2,2,1,3,1,4,4,2,1,2,1,0,4,0

"Data in this table is preliminary and can be changed continuously "
"with each new update of the table. The table is updated each Friday. "

